rtkit 0.13-3
rustup 1.28.2-1.1
s-nail 14.9.25-1.1
screenkey 1.5-5
scrot 1.12.1-1.1
sddm 0.21.0-8
sg3_utils 1.48-1.1
smartmontools 7.5-1.1
snapd 2.68.4-1
snapd-glib 1.67.9f327d1-3
sof-firmware 2025.01.1-1
speech-dispatcher 0.12.0-1.1
speedtest-cli 2.1.3-9
spotify 1:1.2.60.564-2
sudo 1.9.16.p2-2.1
swaybg 1.2.1-1.1
swayfx 0.5-1
swayidle 1.8.0-2.1
swayimg 3.9-1.1
swaylock 1.8.2-1.1
swaylock-fancy-git r234.6faae66-1
swaync 0.11.0-1.1
sysfsutils 2.1.1-2.1
systemsettings 6.3.4-1.1
texinfo 7.2-1.1
tmux 3.5_a-1.1
tofi 0.9.1-2
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-font-awesome 6.7.2-1
ttf-jost 3.7-3
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-1
ttf-noto-nerd 3.4.0-1
ttf-opensans 3.003-1
turbostat 6.14-2
ufw 0.36.2-5
unixodbc 2.3.12-3.1
unrar 1:7.1.6-1.1
unzip 6.0-22.1
usb_modeswitch 2.6.2-1.1
usbutils 018-1.1
uwsm 0.21.3-1
vde2 2.3.3-6.1
vi 1:070224-6
vim 9.1.1362-1.1
virt-manager 5.0.0-1
virt-viewer 11.0-4.1
visual-studio-code-bin 1.99.3-1
vulkan-intel 1:25.0.5-2
wakatime 1:1.60.4-2.1
warp-terminal v0.2025.04.30.08.11.stable_01-1
waterfox-bin 6.5.7-3
waybar-cava 0.12.0-1
waybar-mpris-git r53.485ec0e-1
waypaper 2.5-1
webapp-manager 1.4.0-1
weston 14.0.0-2.1
which 2.23-1.1
windsurf 1.7.3-1
wine 10.2-2
wireless-regdb 2025.02.20-1
wleave-git 0.5.1.r4.geae0643-3
wlinhibit 0.1.1-1
wofi 1.4.1-1.1
wpa_supplicant 2:2.11-3.1
wttrbar 0.12.0-1
xclip 0.13-6.1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2.1
xf86-input-libinput 1.5.0-1.1
xfsprogs 6.14.0-1
xidlehook 0.10.0-1
xl2tpd 1.3.19-1.1
xorg-server 21.1.16-1.1
xorg-server-xephyr 21.1.16-1.1
xorg-xdpyinfo 1.3.4-2.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.6-2.1
xorg-xlsclients 1.1.5-2.1
xorg-xrandr 1.5.3-1.1
xorg-xwayland 24.1.6-1.1
xremap-x11-bin 0.10.11-1
yaak 2025.1.2-1
yay 12.5.0-1
ytui-music 2.0.0rc1-1
zed 0.184.10-1.1
